time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-02 00:00:00+00:00,1.0,1.0,4,4
2024-07-03 00:00:00+00:00,1.0,1.0,5,4
2024-07-04 00:00:00+00:00,,,15,3
2024-07-05 00:00:00+00:00,,,9,6
2024-07-06 00:00:00+00:00,,,11,4
2024-07-07 00:00:00+00:00,,,3,2
2024-07-08 00:00:00+00:00,3.0,3.0,9,8
2024-07-09 00:00:00+00:00,,,165,5
2024-07-10 00:00:00+00:00,,,35,5
2024-07-11 00:00:00+00:00,,,54,11
2024-07-12 00:00:00+00:00,,,13,6
2024-07-14 00:00:00+00:00,,,3,2
2024-07-15 00:00:00+00:00,,,4,4
