time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-30 00:00:00+00:00,1.0,1.0,15.0,2.0
2024-05-01 00:00:00+00:00,,,1.0,1.0
2024-05-04 00:00:00+00:00,1.0,1.0,,
2024-05-06 00:00:00+00:00,1.0,1.0,2.0,2.0
2024-05-07 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-05-09 00:00:00+00:00,20.0,19.0,3297.0,2394.0
2024-05-10 00:00:00+00:00,10.0,9.0,716.0,554.0
2024-05-11 00:00:00+00:00,3.0,3.0,108.0,93.0
2024-05-12 00:00:00+00:00,1.0,1.0,72.0,52.0
